Source,Target,Type
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,flatbuffers/verifier.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,buf,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,len,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,must_free,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,buf,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,len,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,must_free,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/buffer_ref.h,free,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,flatbuffers/allocator.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,flatbuffers/base.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,DefaultAllocator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,allocate,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,DefaultAllocator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,deallocate,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,DefaultAllocator,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/default_allocator.h,reallocate_downward,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,flatbuffers/allocator.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,flatbuffers/base.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,flatbuffers/default_allocator.h,include
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,allocator_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,own_allocator_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,buf_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,reserved_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,cur_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,size_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,allocator_,call
C:/opencv/3rdparty/flatbuffers/include/flatbuffers/detached_buffer.h,own_allocator_,call
